case_id,CTR_SIZE,GROSS,YARD_SLOT,dwell_hours,flag_quarantine,flag_customs,flag_damage,n_events,n_unique_roles,n_unique_activities,hours_atb_to_discharge,CTR_TYPE_DRY,CTR_TYPE_FLT,CTR_TYPE_O/T,CTR_TYPE_OVD,CTR_TYPE_RFR,CTR_TYPE_TNK,JOB_DEL_DOCTYPE_BC23,JOB_DEL_DOCTYPE_BCF26,JOB_DEL_DOCTYPE_LAIN2,JOB_DEL_DOCTYPE_LELANG,JOB_DEL_DOCTYPE_NNMITA,JOB_DEL_DOCTYPE_PLP,JOB_DEL_DOCTYPE_SPPB,JOB_DEL_DOCTYPE_TMBLU,YARD_BLOCK_enc
MNBU3847292-2021-08-06,40.0,33555.0,8.0,,0,0,0,9,6,9,,False,False,False,False,True,False,True,False,False,False,False,False,False,False,17.0
MNBU3848051-2021-09-04,40.0,33.33,18.0,,1,0,0,12,7,12,,False,False,False,False,True,False,False,False,False,False,False,False,True,False,31.0
MNBU3848513-2021-09-17,40.0,33.56,8.0,,0,0,0,14,7,14,,False,False,False,False,True,False,False,False,False,False,False,False,True,False,28.0
MNBU3849510-2021-09-17,40.0,33.56,38.0,,1,0,0,11,6,11,,False,False,False,False,True,False,False,False,False,False,False,False,True,False,11.0
MNBU3852745-2021-08-26,40.0,33.33,42.0,,1,0,0,12,7,12,,False,False,False,False,True,False,False,False,False,False,False,False,True,False,31.0
MNBU3853124-2021-08-20,40.0,28378.0,14.0,,1,0,0,12,7,12,,False,False,False,False,True,False,False,False,False,False,False,False,True,False,31.0
MNBU3853398-2021-08-12,40.0,33.33,14.0,,1,0,0,11,6,11,,False,False,False,False,True,False,False,False,False,False,False,False,True,False,9.0
MNBU3854476-2021-07-21,40.0,33.33,22.0,,1,0,0,11,6,11,,False,False,False,False,True,False,False,False,False,False,False,False,True,False,17.0
MNBU3855220-2021-09-09,40.0,33.56,64.0,,1,0,0,12,7,12,,False,False,False,False,True,False,False,False,False,False,False,False,True,False,14.0
MNBU3862893-2021-07-03,40.0,31.93,44.0,,1,0,0,12,7,12,,False,False,False,False,True,False,False,False,False,False,False,False,True,False,30.0
MNBU3864670-2021-09-17,40.0,33.33,132.0,,1,0,0,11,6,11,,False,False,False,False,True,False,False,False,False,False,False,False,True,False,9.0
MNBU3865260-2021-08-20,40.0,33.56,8.0,,0,0,0,14,7,14,,False,False,False,False,True,False,False,False,False,False,False,False,True,False,28.0
MNBU3865418-2021-08-26,40.0,33.33,56.0,,1,0,0,11,6,11,,False,False,False,False,True,False,False,False,False,False,False,False,True,False,11.0
MNBU3866498-2021-09-04,40.0,33.33,30.0,,1,0,0,12,7,12,,False,False,False,False,True,False,False,False,False,False,False,False,True,False,31.0
MNBU3867149-2021-08-26,40.0,33.33,2.0,,1,0,0,12,7,12,,False,False,False,False,True,False,False,False,False,False,False,False,True,False,29.0
MNBU3868438-2021-09-28,40.0,33.56,52.0,,1,0,0,11,6,11,,False,False,False,False,True,False,False,False,False,False,False,False,True,False,9.0
MNBU3869373-2021-09-04,40.0,33.56,6.0,,1,0,0,12,7,12,,False,False,False,False,True,False,False,False,False,False,False,False,True,False,29.0
MNBU3871128-2021-08-20,40.0,33.52,12.0,,1,0,0,11,6,11,,False,False,False,False,True,False,False,False,False,False,False,False,True,False,6.0
MNBU3871196-2021-09-04,40.0,33.33,2.0,,1,0,0,12,7,12,,False,False,False,False,True,False,False,False,False,False,False,False,True,False,31.0
MNBU3872227-2021-08-06,40.0,8.59,8.0,,0,0,0,9,6,9,,False,False,False,False,True,False,False,False,False,False,False,False,True,False,17.0
MNBU3874702-2021-08-26,40.0,33.52,18.0,,0,0,0,10,6,10,,False,False,False,False,True,False,False,False,False,False,False,False,True,False,1.0
MNBU3879089-2021-09-28,40.0,33.33,76.0,,1,0,0,12,7,12,,False,False,False,False,True,False,False,False,False,False,False,False,True,False,16.0
MNBU3883577-2021-07-03,40.0,28.95,8.0,,0,0,0,15,7,15,,False,False,False,False,True,False,False,False,False,False,False,False,True,False,1.0
MNBU3886175-2021-09-09,40.0,33.33,8.0,,1,0,0,12,7,12,,False,False,False,False,True,False,False,False,False,False,False,False,True,False,21.0
MNBU3888033-2021-09-09,40.0,33.56,78.0,,1,0,0,11,6,11,,False,False,False,False,True,False,False,False,False,False,False,False,True,False,11.0
MNBU3888687-2021-09-04,40.0,33.33,30.0,,1,0,0,12,7,12,,False,False,False,False,True,False,False,False,False,False,False,False,True,False,29.0
MNBU3890010-2021-08-12,40.0,33.33,140.0,,1,0,0,11,6,11,,False,False,False,False,True,False,False,False,False,False,False,False,True,False,9.0
MNBU3891248-2021-08-26,40.0,33.33,128.0,,0,0,0,10,6,10,,False,False,False,False,True,False,False,False,False,False,False,False,True,False,10.0
MNBU3894191-2021-09-04,40.0,33.52,8.0,,0,0,0,10,6,10,,False,False,False,False,True,False,False,False,False,False,False,False,True,False,17.0
MNBU3894355-2021-09-17,40.0,33.33,26.0,,1,0,0,12,7,12,,False,False,False,False,True,False,False,False,False,False,False,False,True,False,31.0
MNBU3894437-2021-09-04,40.0,33.33,30.0,,1,0,0,12,7,12,,False,False,False,False,True,False,False,False,False,False,False,False,True,False,31.0
