case_id,CTR_SIZE,GROSS,YARD_SLOT,n_events,n_unique_activities,n_unique_roles,hours_atb_to_discharge,flag_quarantine,flag_customs,flag_damage,dwell_hours,CTR_TYPE_DRY,CTR_TYPE_FLT,CTR_TYPE_O/T,CTR_TYPE_OVD,CTR_TYPE_RFR,CTR_TYPE_TNK,JOB_DEL_DOCTYPE_BC23,JOB_DEL_DOCTYPE_BCF26,JOB_DEL_DOCTYPE_LAIN2,JOB_DEL_DOCTYPE_LELANG,JOB_DEL_DOCTYPE_NNMITA,JOB_DEL_DOCTYPE_PLP,JOB_DEL_DOCTYPE_SPPB,JOB_DEL_DOCTYPE_TMBLU,YARD_BLOCK_enc
AMCU4601846-2021-08-29,40.0,16.76,100.0,4,4,4,4.923883888888889,0,0,0,104.56805555555556,False,False,False,True,False,False,False,False,False,False,False,False,True,False,14
AMCU9262452-2021-07-07,40.0,25.5,4.0,4,4,4,3.6881625000000002,1,0,0,44.45,False,False,False,False,True,False,False,False,False,False,False,False,True,False,1
AMCU9262977-2021-08-02,40.0,33.6,18.0,5,5,5,7.187126666666666,0,0,0,63.36,False,False,False,False,True,False,False,False,False,False,False,False,True,False,1
AMCU9265446-2021-07-06,40.0,33.63,18.0,8,8,7,9.816975,1,0,0,40.03333333333333,False,False,False,False,True,False,False,False,False,False,False,False,True,False,30
AMCU9268595-2021-08-09,40.0,28.7,2.0,7,7,6,1.6475427777777778,1,0,0,33.43,False,False,False,False,True,False,False,False,False,False,False,False,True,False,31
AMCU9269210-2021-09-07,40.0,27.5,6.0,7,7,7,9.583512222222222,1,0,0,9.06611111111111,False,False,False,False,True,False,False,False,False,False,False,False,True,False,32
AMCU9269919-2021-07-25,40.0,27295.0,10.0,6,6,6,2.4494083333333334,1,0,0,7.883333333333334,False,False,False,False,True,False,False,False,False,False,False,False,True,False,29
AMCU9270592-2021-08-02,40.0,28.7,38.0,6,6,6,11.588033611111111,1,0,0,42.63944444444444,False,False,False,False,True,False,False,False,False,False,False,False,True,False,29
AMCU9271304-2021-07-19,40.0,33.52,14.0,6,6,6,24.694755,1,0,0,36.166666666666664,False,False,False,False,True,False,False,False,False,False,False,False,True,False,31
AMCU9271428-2021-08-09,40.0,28.7,10.0,7,7,7,2.873301111111111,1,0,0,10.751111111111111,False,False,False,False,True,False,False,False,False,False,False,False,True,False,30
AMCU9272276-2021-07-25,40.0,26.02,4.0,4,4,4,4.029260833333334,1,0,0,62.25,False,False,False,False,True,False,False,False,False,False,False,False,True,False,6
AMCU9272635-2021-08-02,40.0,33.6,6.0,6,6,6,14.099308333333333,1,0,0,25.226388888888888,False,False,False,False,True,False,False,False,False,False,False,False,True,False,30
AMCU9273570-2021-08-02,40.0,33.6,20.0,8,8,7,4.152138333333333,0,0,0,18.348333333333333,False,False,False,False,True,False,False,False,False,False,False,False,True,False,22
AMCU9274807-2021-07-07,40.0,29.0,4.0,4,4,4,6.276911944444445,1,0,0,147.55,False,False,False,False,True,False,False,False,False,False,False,False,True,False,1
AMCU9275193-2021-08-28,40.0,33.6,96.0,4,4,4,3.2969341666666665,0,0,0,101.8086111111111,False,False,False,False,True,False,False,False,False,False,False,False,True,False,8
AMCU9275568-2021-08-13,40.0,27.7,12.0,6,6,5,2.7847955555555552,1,0,0,32.021388888888886,False,False,False,False,True,False,False,False,False,False,False,False,True,False,1
AMCU9275594-2021-08-28,40.0,33.42,6.0,7,7,7,6.129974444444445,1,0,0,41.526666666666664,False,False,False,False,True,False,False,False,False,False,False,False,True,False,20
AMCU9275716-2021-09-19,40.0,30.0,22.0,6,6,6,3.1365608333333337,1,0,0,46.139722222222225,False,False,False,False,True,False,False,False,False,False,False,False,True,False,29
AMCU9276604-2021-07-07,40.0,27.0,72.0,5,5,5,2.3841644444444445,1,0,0,49.1,False,False,False,False,True,False,False,False,False,False,False,False,True,False,16
AMCU9277663-2021-09-25,40.0,28.7,6.0,6,6,6,4.079710833333333,1,0,0,25.435277777777777,False,False,False,False,True,False,False,False,False,False,False,False,True,False,29
AMCU9278320-2021-08-09,40.0,28.4,30.0,7,7,7,2.798681944444444,1,0,0,7.023333333333333,False,False,False,False,True,False,False,False,False,False,False,False,True,False,29
AMCU9278567-2021-08-22,40.0,33.6,6.0,6,6,6,4.642194166666667,1,0,0,29.698333333333334,False,False,False,False,True,False,False,False,False,False,False,False,True,False,30
AMCU9278628-2021-07-19,40.0,33.6,8.0,4,4,4,9.346730555555556,1,0,0,53.21666666666667,False,False,False,False,True,False,False,False,False,False,False,False,True,False,6
AMCU9279096-2021-09-11,40.0,28.4,14.0,7,7,6,11.96686,1,0,0,18.11888888888889,False,False,False,False,True,False,False,False,False,False,False,False,True,False,31
AMCU9279347-2021-08-13,40.0,32.56,34.0,5,5,5,2.7639744444444445,0,0,0,51.466388888888886,False,False,False,False,True,False,False,False,False,False,False,False,True,False,9
AMCU9279516-2021-07-07,40.0,27.7,96.0,5,5,4,3.3565294444444445,1,0,0,47.18333333333333,False,False,False,False,True,False,False,False,False,False,False,False,True,False,16
AMCU9285400-2021-08-13,40.0,28.8,6.0,6,6,6,5.03003,1,0,0,22.14,False,False,False,False,True,False,False,False,False,False,False,False,True,False,20
AMCU9285777-2021-09-19,40.0,31.9,30.0,6,6,6,3.364745833333333,1,0,0,32.496944444444445,False,False,False,False,True,False,False,False,False,False,False,False,True,False,29
AMCU9286095-2021-07-21,40.0,33.7,18.0,5,5,5,2.8823397222222225,1,0,0,44.983333333333334,False,False,False,False,True,False,False,False,False,False,False,False,True,False,17
AMCU9286942-2021-08-16,40.0,25922.0,42.0,7,7,7,4.5612441666666665,1,0,0,12.639166666666666,False,False,False,False,True,False,False,False,False,False,False,False,True,False,29
AMCU9287390-2021-08-22,40.0,29.3,8.0,5,5,5,3.4159688888888886,0,0,0,23.933333333333334,False,False,False,False,True,False,False,False,False,False,False,False,True,False,1
AMCU9288164-2021-08-13,40.0,29.2,56.0,6,6,5,2.5629169444444444,1,0,0,28.72,False,False,False,False,True,False,False,False,False,False,False,False,True,False,13
AMCU9288647-2021-08-28,40.0,27.0,6.0,6,6,6,6.9052822222222225,1,0,0,27.095555555555556,False,False,False,False,True,False,False,False,False,False,False,False,True,False,29
AMCU9289242-2021-07-19,40.0,33.74,12.0,4,4,4,10.993742222222222,1,0,0,58.61666666666667,False,False,False,False,True,False,False,False,False,False,False,False,True,False,3
AMCU9289601-2021-09-03,40.0,26.0,6.0,7,7,6,2.6645505555555555,1,0,0,37.9225,False,False,False,False,True,False,False,False,False,False,False,False,True,False,30
AMCU9292760-2021-09-27,40.0,29.2,72.0,6,6,6,7.042764166666667,1,0,0,8.298333333333334,False,False,False,False,True,False,False,False,False,False,False,False,True,False,16
